oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
562113100004843,70329138,2458457.796946113,58457.2913889,13.5202751,0.0111074913,0,zg,91.882448,22.3575359,0.395999998,-0.00600000005,20181205291377,562,0xd,0x1,20.7600002,26.15909,0.02221331,-0.0677180886,5.86030683e-06,30,1.13600004,1
562113100004843,71123343,2458465.7391945985,58465.2334375,13.5550928,0.0111382538,0,zg,91.8824328,22.3575487,0.501999974,-0.0,20181213233438,562,0xd,0x1,20.3700008,26.1269207,0.02825002,-0.048025772,9.58557212e-06,30,1.278,1
562113100004843,71230722,2458466.8129980373,58466.3072222,13.5081606,0.011096877,32768,zg,91.8824588,22.3575297,0.49000001,-0.00600000005,20181214307211,562,0xd,0x1,19.9500008,25.4268799,0.0352671333,-0.0730836987,1.51213471e-05,30,1.05599999,1
562113100004843,71339922,2458467.9050172865,58467.3992245,13.5009861,0.0110906111,32768,zg,91.8824487,22.3575354,0.510999978,0.00100000005,20181215399167,562,0xd,0x1,18.4099998,23.434021,0.0588564873,-0.0540952943,0.000121915997,30,1.10500002,1
562113100004843,71440004,2458468.905852794,58468.4000463,13.5190992,0.0111064594,0,zg,91.8824635,22.3575286,1.15400004,0.0270000007,20181216400035,562,0xd,0x1,21.2000008,26.1959648,0.0212395713,-0.0793068707,5.48642402e-06,30,1.11399996,1
562113100004843,71517752,2458469.683338954,58469.1775231,13.4524088,0.0110485898,0,zg,91.8824539,22.3575456,0.541999996,-0.00999999978,20181217177512,562,0xd,0x1,20.4799995,25.9766426,0.0248618461,-0.0380588509,7.29271733e-06,30,1.62100005,1
562113100004843,71824565,2458472.751502547,58472.2456597,13.4847097,0.0110764531,0,zg,91.8824227,22.3575253,0.726000011,0.0120000001,20181220245648,562,0xd,0x1,19.9500008,26.1659756,0.0317351744,-0.0576284342,1.20278473e-05,30,1.14999998,1
562113100004843,72229059,2458476.7964434414,58476.2905903,13.501296,0.0110908803,0,zg,91.8824412,22.3575358,0.172999993,-0.0359999985,20181224290579,562,0xd,0x1,19.8400002,26.2075958,0.0316525958,-0.07698071,1.1972701e-05,30,1.046,1
562113100004843,72628868,2458480.794515653,58480.2886806,13.4949932,0.0110853901,0,zg,91.8823502,22.3576802,2.00200009,0.0260000005,20181228288681,562,0xd,0x1,19.9099998,26.2043362,0.0466673896,-0.0404662415,2.70722903e-05,30,1.04100001,1
562113100004843,72728373,2458481.7895645807,58481.2837384,13.5301476,0.0111161768,0,zg,91.88244700000001,22.3575594,0.698000014,-0.00300000003,20181229283727,562,0xd,0x1,20.5699997,26.161623,0.0262142904,-0.0466360226,8.1019698e-06,30,1.04200006,1
